run_id,initial_case_id,initial_label,psi0,psi0_lower,psi0_upper,schedule_id,binary_sequence,on_count,on_fraction,theta_1in_t0,theta_5in_t0,theta_9in_t0,theta_1in_t1,theta_5in_t1,theta_9in_t1,theta_1in_t2,theta_5in_t2,theta_9in_t2,theta_1in_t3,theta_5in_t3,theta_9in_t3,theta_1in_t4,theta_5in_t4,theta_9in_t4
run_0042,dry_003,dry,-1.75976179307295,-2.19,-1.38,sched_0010,1001,2,0.5,15.7258473670706,15.7258473670706,15.7258473670706,24.6477318679388,24.5948421082566,24.545150272887,18.4170521914751,19.4788767526258,20.1874312948429,17.4207306053761,18.21576133986,18.7825189247526,24.8432882814456,24.8324313734391,24.823742902241
run_0043,dry_003,dry,-1.75976179307295,-2.19,-1.38,sched_0011,1010,2,0.5,15.7258473670706,15.7258473670706,15.7258473670706,24.6477318679388,24.5948421082566,24.545150272887,18.4170521914751,19.4788767526258,20.1874312948429,24.8933553203578,24.8881135598444,24.8840748392536,18.4658506733844,19.5381681821125,20.2511126898373
run_0044,dry_003,dry,-1.75976179307295,-2.19,-1.38,sched_0012,1011,3,0.75,15.7258473670706,15.7258473670706,15.7258473670706,24.6477318679388,24.5948421082566,24.545150272887,18.4170521914751,19.4788767526258,20.1874312948429,24.8933553203578,24.8881135598444,24.8840748392536,24.9995558101451,24.9995555791648,24.9995554164575
run_0045,dry_003,dry,-1.75976179307295,-2.19,-1.38,sched_0013,1100,2,0.5,15.7258473670706,15.7258473670706,15.7258473670706,24.6477318679388,24.5948421082566,24.545150272887,24.9966766023649,24.9966676413635,24.9966613043829,18.4831276440411,19.5590933017719,20.2735266685773,17.4447198311432,18.247282628628,18.818622241718
run_0046,dry_003,dry,-1.75976179307295,-2.19,-1.38,sched_0014,1101,3,0.75,15.7258473670706,15.7258473670706,15.7258473670706,24.6477318679388,24.5948421082566,24.545150272887,24.9966766023649,24.9966676413635,24.9966613043829,18.4831276440411,19.5590933017719,20.2735266685773,24.8959944580449,24.8909937491069,24.8871484674405
run_0047,dry_003,dry,-1.75976179307295,-2.19,-1.38,sched_0015,1110,3,0.75,15.7258473670706,15.7258473670706,15.7258473670706,24.6477318679388,24.5948421082566,24.545150272887,24.9966766023649,24.9966676413635,24.9966613043829,24.9999972606462,24.9999972606237,24.999997260608,18.483647977338,19.5597230372219,20.2742002278851
run_0048,dry_003,dry,-1.75976179307295,-2.19,-1.38,sched_0016,1111,4,1,15.7258473670706,15.7258473670706,15.7258473670706,24.6477318679388,24.5948421082566,24.545150272887,24.9966766023649,24.9966676413635,24.9966613043829,24.9999972606462,24.9999972606237,24.999997260608,24.9999997855671,24.9999997855669,24.9999997855667
run_0049,dry_004,dry,-1.5148493368763,-2.19,-1.38,sched_0001,0000,0,0,16.8747839761206,16.8747839761206,16.8747839761206,16.5019860883114,16.8078395366752,16.8694983442108,16.3554599736964,16.6892230009572,16.8268930768586,16.258556587201,16.5875538244732,16.7615762754867,16.186205518527,16.5034763478951,16.6931683707856
run_0050,dry_004,dry,-1.5148493368763,-2.19,-1.38,sched_0002,0001,1,0.25,16.8747839761206,16.8747839761206,16.8747839761206,16.5019860883114,16.8078395366752,16.8694983442108,16.3554599736964,16.6892230009572,16.8268930768586,16.258556587201,16.5875538244732,16.7615762754867,24.7330587439072,24.7026493118028,24.6761132745595
run_0051,dry_004,dry,-1.5148493368763,-2.19,-1.38,sched_0003,0010,1,0.25,16.8747839761206,16.8747839761206,16.8747839761206,16.5019860883114,16.8078395366752,16.8694983442108,16.3554599736964,16.6892230009572,16.8268930768586,24.738571528483,24.7093850186114,24.6840308154839,18.4365913208348,19.5026548157719,20.2130075695514
run_0052,dry_004,dry,-1.5148493368763,-2.19,-1.38,sched_0004,0011,2,0.5,16.8747839761206,16.8747839761206,16.8747839761206,16.5019860883114,16.8078395366752,16.8694983442108,16.3554599736964,16.6892230009572,16.8268930768586,24.738571528483,24.7093850186114,24.6840308154839,24.9980141710514,24.9980106593624,24.9980081802101
run_0053,dry_004,dry,-1.5148493368763,-2.19,-1.38,sched_0005,0100,1,0.25,16.8747839761206,16.8747839761206,16.8747839761206,16.5019860883114,16.8078395366752,16.8694983442108,24.7441915330388,24.7162242489076,24.6920400790867,18.4377358422276,19.5040455815106,20.2145005589962,17.4283019819914,18.2257158979383,18.7939265810506
run_0054,dry_004,dry,-1.5148493368763,-2.19,-1.38,sched_0006,0101,2,0.5,16.8747839761206,16.8747839761206,16.8747839761206,16.5019860883114,16.8078395366752,16.8694983442108,24.7441915330388,24.7162242489076,24.6920400790867,18.4377358422276,19.5040455815106,20.2145005589962,24.8941891189235,24.8890241065188,24.8850470403566
